name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
E.Manning,00-0022803,no,NYG,QB,,,,,,1,1,4,1,0,,,,,,,,,,,,,,,536,321,15,26,0,0,3948,,,,,,,,,,,,,,,,,,20,39,0,0,0,0,30
D.Wilson,00-0029251,no,NYG,,,,,,,1,0,1,0,0,,,,,,,,,,428,590,0,57,1,,,,,,,,,,,,,,,,,,34,15,4,1,0,0,34,71,183,106,4,0,0,358
A.Bradshaw,00-0025637,no,NYG,,,,,,,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,0,23,0,0,0,245,221,222,30,6,0,0,1015
D.Hixon,00-0024345,no,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,25,0,5,0,290,18,39,2,0,0,567,,,,,,,
M.Bennett,00-0026201,no,NYG,TE,,,,,,,,,,,,,,,,,,,,13,13,0,1,0,,,,,,,,,,,,,,,,,,288,66,55,5,0,0,626,,,,,,,
H.Nicks,00-0027005,no,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,61,53,3,0,0,692,,,,,,,
V.Cruz,00-0027265,no,NYG,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,248,86,10,0,0,1092,,,,,,,
B.Pascoe,00-0026931,no,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,6,4,1,0,0,35,,,,,,,
H.Hynoski,00-0028492,no,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,11,1,0,0,50,5,20,0,0,0,0,20
L.Tynes,00-0019778,no,NYG,,,,,,,,,,,,38,33,492,99,46,0,46,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Weatherford,00-0024110,no,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,22,875,58,2757,,,,,,,,,,,,,,,,,,,
A.Brown,00-0027094,no,NYG,,,,,,,0,1,0,1,1,,,,,,,,,,27,35,0,3,0,,,,,,,,,,,,,,,,,,53,0,12,0,0,0,86,73,131,10,8,1,1,385
J.Tryon,00-0026264,no,NYG,,1,0,0,0,5,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Kiwanuka,00-0024247,no,NYG,,9,0,0,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Rivers,00-0026149,no,NYG,,8,0,0,0,29,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
